date,title,jurisdiction,proceeding_docket,filing_type,file_path
2025-09-15,CA SCE Joint Settlement Agreement for Commercial Electric Vehicle Rates,California,,Settlement/Agreement,filings/2025-09-15_CA-SCE-Joint-Settlement-Agreement-for-Commercial-Electric.pdf
2025-09-22,NY Medium- and Heavy-Duty Make-Ready Pilot Petition Comments,New York,E-0138,Petition,filings/2025-09-22_NY-Medium-and-Heavy-Duty-Make-Ready-Pilot-Petition-Comments.pdf
2025-10-06,VA Dominion Virtual Power Plant Pilot Informal Feedback,Virginia,,Informal Comments,filings/2025-10-06_VA-Dominion-Virtual-Power-Plant-Pilot-Informal-Feedback.pdf
2025-10-17,MA EV Make-Ready and Managed Charging Proposals Informal Feedback,Massachusetts,,Informal Comments,filings/2025-10-17_MA-EV-Make-Ready-and-Managed-Charging-Proposals-Informal.pdf
2025-10-20,CA New Rule 21 Proceeding Scope Comments,California,,Comments,filings/2025-10-20_CA-New-Rule-21-Proceeding-Scope-Comments.pdf
2025-10-21,VA Dominion Demand Side Management Plan Informal Feedback,Virginia,,Informal Comments,filings/2025-10-21_VA-Dominion-Demand-Side-Management-Plan-Informal-Feedback.pdf
2025-10-27,CA SCE Vehicle-to-Grid Export Rate Settlement Joint Reply Comments,California,,Reply Comments,filings/2025-10-27_CA-SCE-Vehicle-to-Grid-Export-Rate-Settlement-Joint-Reply.pdf
2025-11-10,CA New Rule 21 Proceeding Scope Reply Comments,California,,Reply Comments,filings/2025-11-10_CA-New-Rule-21-Proceeding-Scope-Reply-Comments.pdf
2025-11-13,CA New Demand Response Proceeding Scope Comments,California,,Response,filings/2025-11-13_CA-New-Demand-Response-Proceeding-Scope-Comments.pdf
2025-11-17,CA EVSE Rebate and Reporting Requirements Proposed Decision Opening Comments,California,,Comments,filings/2025-11-17_CA-EVSE-Rebate-and-Reporting-Requirements-Proposed-Decision.pdf
2025-11-17,NV Interconnection Rule Reform Redlines and Comments,Nevada,,Comments,filings/2025-11-17_NV-Interconnection-Rule-Reform-Redlines-and-Comments.pdf
2025-11-24,CA EVSE Rebate and Reporting Requirements Proposed Decision Reply Comments,California,,Reply Comments,filings/2025-11-24_CA-EVSE-Rebate-and-Reporting-Requirements-Proposed-Decision.pdf
2025-11-24,CA SCE Vehicle-to-Grid Export Rate Settlement Reply Brief,California,,Reply Brief,filings/2025-11-24_CA-SCE-Vehicle-to-Grid-Export-Rate-Settlement-Reply-Brief.pdf
2025-12-01,CA New Demand Response Proceeding Scope Reply Comments,California,,Reply Comments,filings/2025-12-01_CA-New-Demand-Response-Proceeding-Scope-Reply-Comments.pdf
2025-12-05,CA 2026 Cap-and-Invest ZEV Funding Coalition Letter,California,,Letter,filings/2025-12-05_CA-2026-Cap-and-Invest-ZEV-Funding-Coalition-Letter.pdf
2025-12-05,NY EV Interconnection and Flexible EV Service Connection Joint Comments,New York,Case No. 18-E-0138,Comments,filings/2025-12-05_NY-EV-Interconnection-and-Flexible-EV-Service-Connection.pdf
2025-12-08,NY Submetering and Telematics Staff Report Comments,New York,E-0138,Comments,filings/2025-12-08_NY-Submetering-and-Telematics-Staff-Report-Comments.pdf
2025-12-15,CA Draft Electrification Impact Studies Part 2 Comments,California,,Comments,filings/2025-12-15_CA-Draft-Electrification-Impact-Studies-Part-2-Comments.pdf
2025-12-22,NY Submetering and Telematics Staff Report Reply Comments,New York,E-0138,Reply Comments,filings/2025-12-22_NY-Submetering-and-Telematics-Staff-Report-Reply-Comments.pdf
2026-01-16,CA SCE Dynamic Rate Application Direct Testimony,California,A.24-06-014,Testimony,filings/2026-01-16_CA-SCE-Dynamic-Rate-Application-Direct-Testimony.pdf
2026-02-04,NV Petition for Leave to Intervene in Interconnection Reform Docket,Nevada,Docket No. 25-12031,Petition,filings/2026-02-04_NV-Petition-for-Leave-to-Intervene-in-Interconnection.pdf
2026-02-05,CA Distribution Grid Electrification Model 2025 Study and Report Comments,California,,Comments,filings/2026-02-05_CA-Distribution-Grid-Electrification-Model-2025-Study-and.pdf
2026-02-09,MA Department of Energy Resources Peak Potential Report Comments,Massachusetts,,Comments,filings/2026-02-09_MA-Department-of-Energy-Resources-Peak-Potential-Report.pdf
2026-02-18,MA 2027-2030 EV Plan Proposal Comments,Massachusetts,,Comments,filings/2026-02-18_MA-2027-2030-EV-Plan-Proposal-Comments.pdf
2026-02-19,CA SDG&E LCFS Holdback Funds Proposal Protest,California,Advice Letter 4794-E,Protest,filings/2026-02-19_CA-SDG-E-LCFS-Holdback-Funds-Proposal-Protest.pdf
2026-02-19,CA PG&E Managed Charging Program Proposal Response,California,Advice Letter 7822-E,Response,filings/2026-02-19_CA-PG-E-Managed-Charging-Program-Proposal-Response.pdf
